Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram_in_GB,Gpu,OpSys,Weight,Price_rupees,Memory_type,Memory_in_GB
HP,ZBook 15,Workstation,15.6,1920x1080,Intel,8,Nvidia Quadro,Windows 7,2.59,203396,SSD,256
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel,8,Intel HD,Windows 10,2.14,49270,HDD,1000
Lenovo,V510-15IKB (i5-7200U/8GB/256GB/FHD/No,Notebook,15.6,1920x1080,Intel,8,Intel HD,No OS,2.3,52286,SSD,256
Lenovo,Thinkpad P51,Notebook,15.6,1920x1080,Intel,8,Nvidia Quadro,Windows 10,2.67,190712,SSD,256
MSI,GV62 7RD-1686NL,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.2,93781,SSD,256
Lenovo,Thinkpad T470,Notebook,14.0,1920x1080,Intel,8,Intel HD,Windows 10,1.7,124465,SSD,180
Dell,XPS 13,Ultrabook,13.3,3840x2160,Intel,16,Intel UHD,Windows 10,1.21,228034,SSD,1000
Others,Others,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Others,2.5,91159,SSD +  1TB HDD,128
Dell,Inspiron 7559,Gaming,15.6,1920x1080,Intel,16,Nvidia GeForce,Windows 10,2.59,80210,HDD,1000
Acer,Aspire E5-575,Notebook,15.6,1920x1080,Intel,4,Intel HD,Windows 10,2.4,45534,HDD,1000
Others,Others,2 in 1 Convertible,15.6,1920x1080,Intel,8,Intel UHD,Others,2.67,72909,SSD,256
Chuwi,LapBook 12.3,Notebook,12.3,2736x1824,Intel,6,Intel HD,Windows 10,1.4,40971,Flash Storage,64
HP,EliteBook x360,2 in 1 Convertible,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.28,207776,SSD,256
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel,8,Intel HD,No OS,2.2,47359,HDD,2000
Others,Others,Netbook,11.6,1366x768,Intel,4,Intel HD,Others,1.26,26919,Flash Storage,16
Asus,Rog GL502VM-DS74,Gaming,15.6,1920x1080,Intel,16,Nvidia GeForce,Windows 10,2.1,173284,SSD +  1TB HDD,128
Dell,Precision M5520,Workstation,15.6,1920x1080,Intel,8,Nvidia Quadro,Windows 10,1.78,219730,SSD,256
HP,Omen 17-W006na,Gaming,17.3,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.75,127659,SSD +  1TB HDD,128
Lenovo,IdeaPad Y700-15ISK,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,3.31,109135,SSD +  1TB HDD,128
Dell,Vostro 5468,Notebook,14.0,1920x1080,Intel,4,Intel HD,Windows 10,1.6,67148,SSD,128
Dell,XPS 15,Notebook,15.6,3840x2160,Intel,8,Nvidia GeForce,Windows 10,2.04,205375,SSD,256
